epoch,seed,train_pinball,val_pinball
0,1338,1.7368965123767977,1.6720062457635754
1,1338,1.6968130088084703,1.649390744625545
2,1338,1.6795283134107466,1.8494122055221776
3,1338,1.6749433535453562,1.8048726598747442
4,1338,1.6553217997992193,1.643917054670756
5,1338,1.6605513231320814,1.654030801575692
6,1338,1.6539455604824154,1.6465390314821338
7,1338,1.6483470838178287,1.6767252866850524
8,1338,1.6441598206564978,1.7793477776109194
9,1338,1.6438512178016949,1.774921502734794
0,1339,1.7481909698093092,1.6556231631118743
1,1339,1.6894789403909212,1.6780566301990727
2,1339,1.6790336005679973,1.6267148070648068
3,1339,1.6795997735258046,1.6925272887847462
4,1339,1.652182007377798,1.651998522828837
5,1339,1.6603809207097275,1.7247405765486545
6,1339,1.6626798818250754,1.6699114327059417
7,1339,1.6534090989402361,1.682326605329748
0,1340,1.7276424483045356,1.9651199728250504
1,1340,1.6861192413738795,1.6282491310209524
2,1340,1.678084722780562,1.7315937471194345
3,1340,1.6700990554187205,1.64375822123934
4,1340,1.6631452560231283,1.652706620390298
5,1340,1.6520704029055384,1.6639005597986158
6,1340,1.6596299367291587,1.6879558978510685
