epoch,seed,train_pinball,val_pinball
0,1338,1.6946244982929972,1.7231964439642233
1,1338,1.6504725237171372,1.7188720722667505
2,1338,1.65182347760185,1.8005566469958572
3,1338,1.639809440192464,1.776387518302339
4,1338,1.623972297972673,1.6731893481289755
5,1338,1.620889310809699,1.7360307034410414
6,1338,1.6142985074744596,1.6672706110555617
7,1338,1.608322892386418,1.6643941170368037
8,1338,1.6011097953691111,1.7009332798054961
9,1338,1.5906413597139446,1.7520361295977578
10,1338,1.5902693808659332,1.6838058843964436
11,1338,1.584908246074791,1.6851355423692798
12,1338,1.57546624584825,1.689201828886251
0,1339,1.6951562983842638,1.7030707380322159
1,1339,1.663962197574702,1.675909783752238
2,1339,1.6489388882726819,1.688437497762383
3,1339,1.640288615865367,1.736672320571102
4,1339,1.624554439798578,1.6830536635195623
5,1339,1.6311009412075017,1.723708348196061
6,1339,1.627292627057472,1.7099819532671914
0,1340,1.691015806968336,1.8434655014120165
1,1340,1.6583800852879302,1.6831362855727556
2,1340,1.6437839780535017,1.8021597188027179
3,1340,1.6389251676472751,1.6664057342243976
4,1340,1.6262044019319795,1.704945104288273
5,1340,1.6178669272498651,1.7047345362237243
6,1340,1.6187724587205168,1.7265362839718335
7,1340,1.610766921627831,1.7178159192448756
8,1340,1.6028460549650254,1.6980156353751168
