fold_id,test_groups,n_train,n_val,n_test,val_pinball,s1,q50_dispersion,path_sharpe,path_n_days,path_mean_ret
0,"[0, 1]",1574,278,620,1.4598587664883178,"{'pass': True, 'margin': 0.012236004504672778, 'min_rel': 0.01, 'model_pinball': 1.4598587664883178, 'baseline_pinball': 1.4779428822532172}",0.016029322519898415,-1.948189799936545,620,-0.00035369283705792895
1,"[0, 2]",1567,277,621,1.4620746295754028,"{'pass': True, 'margin': 0.011412588758202837, 'min_rel': 0.01, 'model_pinball': 1.4620746295754028, 'baseline_pinball': 1.478953315558452}",0.020459217950701714,-1.3196052688953026,621,-0.00036949326731017956
2,"[0, 3]",1568,277,620,1.4659548381791674,"{'pass': False, 'margin': 0.008970773449535731, 'min_rel': 0.01, 'model_pinball': 1.4659548381791674, 'baseline_pinball': 1.4792246271906688}",0.020525656640529633,-1.599404010505475,620,-0.0007837076055982902
3,"[0, 4]",1568,277,620,1.4621714187041497,"{'pass': True, 'margin': 0.012101915202849154, 'min_rel': 0.01, 'model_pinball': 1.4621714187041497, 'baseline_pinball': 1.4800832608197467}",0.020204877480864525,-1.4188973271889995,620,-0.0003521353617670749
4,"[0, 5]",1567,277,621,1.4647181630008088,"{'pass': True, 'margin': 0.010274088936123525, 'min_rel': 0.01, 'model_pinball': 1.4647181630008088, 'baseline_pinball': 1.4799230237655934}",0.01932472735643387,-2.1325135642240034,621,-0.0006037600409274785
5,"[0, 6]",1568,277,620,1.464574366381711,"{'pass': True, 'margin': 0.011393587125435445, 'min_rel': 0.01, 'model_pinball': 1.464574366381711, 'baseline_pinball': 1.4814534351675683}",0.01818632148206234,-1.2442323138369205,620,-0.0002754177494756664
6,"[0, 7]",1572,278,620,1.5156656566926903,"{'pass': True, 'margin': 0.013684387362203225, 'min_rel': 0.01, 'model_pinball': 1.5156656566926903, 'baseline_pinball': 1.536694377816045}",0.01785139925777912,-1.4691442160403791,620,-0.0004053760010206113
7,"[1, 2]",1571,278,621,1.4613604206865496,"{'pass': True, 'margin': 0.01035927957266364, 'min_rel': 0.01, 'model_pinball': 1.4613604206865496, 'baseline_pinball': 1.4766575288611004}",0.020667167380452156,-2.1923940239904747,621,-0.0005687104144261526
8,"[1, 3]",1566,277,620,1.4623810165142572,"{'pass': True, 'margin': 0.011461259975751203, 'min_rel': 0.01, 'model_pinball': 1.4623810165142572, 'baseline_pinball': 1.4793360718249495}",0.014022143557667732,-1.5935726433520896,620,-0.0008392805469816429
9,"[1, 4]",1566,277,620,1.4628003071846816,"{'pass': True, 'margin': 0.011765954479654357, 'min_rel': 0.01, 'model_pinball': 1.4628003071846816, 'baseline_pinball': 1.4802164667525266}",0.019624866545200348,-1.3340406257486916,620,-0.00039027028242778294
10,"[1, 5]",1565,277,621,1.4613381509388073,"{'pass': True, 'margin': 0.012646825663601348, 'min_rel': 0.01, 'model_pinball': 1.4613381509388073, 'baseline_pinball': 1.4800561632072278}",0.01539485715329647,-1.9529709432425726,621,-0.000591778949260378
11,"[1, 6]",1566,277,620,1.463623417387565,"{'pass': True, 'margin': 0.01213191780869757, 'min_rel': 0.01, 'model_pinball': 1.463623417387565, 'baseline_pinball': 1.4815980430716373}",0.017454931512475014,-1.4701563793668628,620,-0.0003221522677371123
12,"[1, 7]",1571,277,620,1.5132672850190518,"{'pass': True, 'margin': 0.014217666182949576, 'min_rel': 0.01, 'model_pinball': 1.5132672850190518, 'baseline_pinball': 1.535092720884463}",0.021205175668001175,-2.328546539640471,620,-0.0006220948910218535
13,"[2, 3]",1571,278,621,1.4618712432498253,"{'pass': False, 'margin': 0.009388657012672885, 'min_rel': 0.01, 'model_pinball': 1.4618712432498253, 'baseline_pinball': 1.4757263316219942}",0.022210003808140755,-1.4115863500630044,621,-0.0007895547549479082
14,"[2, 4]",1565,277,621,1.4631154402656277,"{'pass': True, 'margin': 0.010546867423729955, 'min_rel': 0.01, 'model_pinball': 1.4631154402656277, 'baseline_pinball': 1.4787112113699294}",0.02254403382539749,-1.2513232590657049,621,-0.0004305217859223533
15,"[2, 5]",1565,276,622,1.466199642236783,"{'pass': False, 'margin': 0.009908481756283867, 'min_rel': 0.01, 'model_pinball': 1.466199642236783, 'baseline_pinball': 1.4808728437928809}",0.023656252771615982,-1.7872911274687417,622,-0.0006819471810485904
16,"[2, 6]",1565,277,621,1.4699799443434536,"{'pass': False, 'margin': 0.006591305539385978, 'min_rel': 0.01, 'model_pinball': 1.4699799443434536, 'baseline_pinball': 1.4797333187642383}",0.01965722255408764,-1.1748833003394492,621,-0.0003290286244170931
17,"[2, 7]",1570,277,621,1.511917572159199,"{'pass': True, 'margin': 0.013659737803608813, 'min_rel': 0.01, 'model_pinball': 1.511917572159199, 'baseline_pinball': 1.532855982977363}",0.02965369075536728,-2.0159205089224455,621,-0.000713862586628121
18,"[3, 4]",1572,278,620,1.4605614846162829,"{'pass': True, 'margin': 0.010758776454528303, 'min_rel': 0.01, 'model_pinball': 1.4605614846162829, 'baseline_pinball': 1.4764462396558693}",0.02213960513472557,-1.3157412282754686,620,-0.0006937078446831785
19,"[3, 5]",1565,277,621,1.4643362939790034,"{'pass': False, 'margin': 0.00980490779956833, 'min_rel': 0.01, 'model_pinball': 1.4643362939790034, 'baseline_pinball': 1.4788361460416104}",0.02649884857237339,-2.1388689173272915,621,-0.001174121356700673
20,"[3, 6]",1566,277,620,1.4622433591823707,"{'pass': True, 'margin': 0.012038136953108049, 'min_rel': 0.01, 'model_pinball': 1.4622433591823707, 'baseline_pinball': 1.4800605305479972}",0.019895099103450775,-2.3365901077525866,620,-0.0010334325257927253
21,"[3, 7]",1571,277,620,1.5139104461411708,"{'pass': True, 'margin': 0.012606330298995043, 'min_rel': 0.01, 'model_pinball': 1.5139104461411708, 'baseline_pinball': 1.5332389629352208}",0.01554407924413681,-2.188679999562362,620,-0.001093084883044955
22,"[4, 5]",1571,278,621,1.460937081652879,"{'pass': True, 'margin': 0.010991756237108383, 'min_rel': 0.01, 'model_pinball': 1.460937081652879, 'baseline_pinball': 1.4771738161599484}",0.02293400838971138,-1.8070037575593987,621,-0.0005904666208589546
23,"[4, 6]",1566,277,620,1.4641912712700664,"{'pass': True, 'margin': 0.01139652441247756, 'min_rel': 0.01, 'model_pinball': 1.4641912712700664, 'baseline_pinball': 1.4810703253899693}",0.01784374937415123,-1.2220706773395447,620,-0.0003553631554239946
24,"[4, 7]",1571,277,620,1.5160017032915936,"{'pass': True, 'margin': 0.012020675812433464, 'min_rel': 0.01, 'model_pinball': 1.5160017032915936, 'baseline_pinball': 1.5344467907141979}",0.01878172531723976,-1.8819581358552873,620,-0.0006153355197678964
25,"[5, 6]",1571,278,621,1.4614671664684256,"{'pass': True, 'margin': 0.011498899269563887, 'min_rel': 0.01, 'model_pinball': 1.4614671664684256, 'baseline_pinball': 1.4784679201555762}",0.01990063115954399,-1.9712477382582776,621,-0.0005952031524914744
26,"[5, 7]",1570,277,621,1.5146730339914454,"{'pass': True, 'margin': 0.01276226146617332, 'min_rel': 0.01, 'model_pinball': 1.5146730339914454, 'baseline_pinball': 1.5342535793262189}",0.017730597406625748,-2.541173670526368,621,-0.0008529439439523704
27,"[6, 7]",1576,279,620,1.3640363627650833,"{'pass': False, 'margin': 0.009645577547458357, 'min_rel': 0.01, 'model_pinball': 1.3640363627650833, 'baseline_pinball': 1.3773214233618962}",0.01792008988559246,-2.4929449493753926,620,-0.0006500917814541284
