fold_id,test_groups,n_train,n_val,n_test,val_pinball,s1,q50_dispersion,path_sharpe,path_n_days,path_mean_ret
0,"[0, 1]",4415,780,1301,1.4755440985545134,"{'pass': True, 'margin': 0.014732330719014832, 'min_rel': 0.01, 'model_pinball': 1.4755440985545134, 'baseline_pinball': 1.4976073452519916}",0.01628355123102665,-2.347303524710164,1301,-0.0009103921370294873
1,"[0, 2]",4409,778,1302,1.4809903173029881,"{'pass': True, 'margin': 0.01099421869328237, 'min_rel': 0.01, 'model_pinball': 1.4809903173029881, 'baseline_pinball': 1.4974536502165225}",0.02319173887372017,-0.8470315196952304,1302,-0.0004062840275012763
2,"[0, 3]",4410,778,1301,1.4743764069515513,"{'pass': True, 'margin': 0.013803190520493926, 'min_rel': 0.01, 'model_pinball': 1.4743764069515513, 'baseline_pinball': 1.4950123472105898}",0.025162478908896446,-1.3614872511256657,1301,-0.0008955628701814879
3,"[0, 4]",4409,778,1302,1.4759919568704762,"{'pass': True, 'margin': 0.012830808926411008, 'min_rel': 0.01, 'model_pinball': 1.4759919568704762, 'baseline_pinball': 1.495176278004859}",0.022826064378023148,-2.8876148878995465,1302,-0.0010028601897649186
4,"[0, 5]",4409,778,1302,1.4748883594813873,"{'pass': True, 'margin': 0.013924859020137995, 'min_rel': 0.01, 'model_pinball': 1.4748883594813873, 'baseline_pinball': 1.4957159938296305}",0.025137541815638542,-1.5879207110312847,1302,-0.0006302117885604015
5,"[0, 6]",4410,778,1301,1.476620793304284,"{'pass': True, 'margin': 0.01331378834898044, 'min_rel': 0.01, 'model_pinball': 1.476620793304284, 'baseline_pinball': 1.4965454831211822}",0.02229076810181141,-1.8090376789698466,1301,-0.0007774412045799191
6,"[0, 7]",4409,778,1302,1.4773844396240607,"{'pass': True, 'margin': 0.012487616653799518, 'min_rel': 0.01, 'model_pinball': 1.4773844396240607, 'baseline_pinball': 1.4960667476573017}",0.023432284593582153,-1.9023817656429733,1302,-0.0008130756625260407
7,"[0, 8]",4410,778,1301,1.4530818460073447,"{'pass': True, 'margin': 0.01149598227829993, 'min_rel': 0.01, 'model_pinball': 1.4530818460073447, 'baseline_pinball': 1.4699807182942985}",0.022651124745607376,-2.5864932950168087,1301,-0.000918056565456919
8,"[0, 9]",4413,779,1302,1.3425863647644571,"{'pass': True, 'margin': 0.010019403923581041, 'min_rel': 0.01, 'model_pinball': 1.3425863647644571, 'baseline_pinball': 1.3561744241104496}",0.02763492241501808,-1.6993707023903748,1302,-0.0008413105773988001
9,"[1, 2]",4414,779,1301,1.4763233630663317,"{'pass': True, 'margin': 0.014209940584285501, 'min_rel': 0.01, 'model_pinball': 1.4763233630663317, 'baseline_pinball': 1.4976042301961943}",0.02967185713350773,-3.3861817611581984,1301,-0.000787054669175455
