symbol,first_date,rows,coverage
AAPL,2000-01-03,6649,1.0
ABT,2000-01-03,6649,1.0
ADBE,2000-01-03,6649,1.0
ADI,2000-01-03,6649,1.0
ADP,2000-01-03,6649,1.0
AEP,2000-01-03,6649,1.0
AFL,2000-01-03,6649,1.0
AIG,2000-01-03,6649,1.0
AMAT,2000-01-03,6649,1.0
AMD,2000-01-03,6649,1.0
AMGN,2000-01-03,6649,1.0
AMT,2000-01-03,6649,1.0
AMZN,2000-01-03,6649,1.0
APD,2000-01-03,6649,1.0
AXP,2000-01-03,6649,1.0
AZO,2000-01-03,6649,1.0
BA,2000-01-03,6649,1.0
BAC,2000-01-03,6649,1.0
BDX,2000-01-03,6649,1.0
BKNG,2000-01-03,6649,1.0
BLK,2000-01-03,6649,1.0
BMY,2000-01-03,6649,1.0
BRK.B,2000-01-03,6649,1.0
BSX,2000-01-03,6649,1.0
C,2000-01-03,6649,1.0
CAT,2000-01-03,6649,1.0
CB,2000-01-03,6649,1.0
CCI,2000-01-03,6649,1.0
CDNS,2000-01-03,6649,1.0
CI,2000-01-03,6649,1.0
CL,2000-01-03,6649,1.0
CMCSA,2000-01-03,6649,1.0
COF,2000-01-03,6649,1.0
COP,2000-01-03,6649,1.0
COST,2000-01-03,6649,1.0
CSCO,2000-01-03,6649,1.0
CSX,2000-01-03,6649,1.0
CVS,2000-01-03,6649,1.0
CVX,2000-01-03,6649,1.0
D,2000-01-03,6649,1.0
DE,2000-01-03,6649,1.0
DHR,2000-01-03,6649,1.0
DIA,2000-01-03,6649,1.0
DIS,2000-01-03,6649,1.0
DUK,2000-01-03,6649,1.0
EA,2000-01-03,6649,1.0
ECL,2000-01-03,6649,1.0
EMR,2000-01-03,6649,1.0
EOG,2000-01-03,6649,1.0
ETN,2000-01-03,6649,1.0
EXC,2000-01-03,6649,1.0
F,2000-01-03,6649,1.0
FCX,2000-01-03,6649,1.0
FDX,2000-01-03,6649,1.0
GD,2000-01-03,6649,1.0
GE,2000-01-03,6649,1.0
GILD,2000-01-03,6649,1.0
GIS,2000-01-03,6649,1.0
GS,2000-01-03,6649,1.0
HD,2000-01-03,6649,1.0
HON,2000-01-03,6649,1.0
HUM,2000-01-03,6649,1.0
IBM,2000-01-03,6649,1.0
INTC,2000-01-03,6649,1.0
INTU,2000-01-03,6649,1.0
ITW,2000-01-03,6649,1.0
JNJ,2000-01-03,6649,1.0
JPM,2000-01-03,6649,1.0
KLAC,2000-01-03,6649,1.0
KMB,2000-01-03,6649,1.0
KO,2000-01-03,6649,1.0
KR,2000-01-03,6649,1.0
LIN,2000-01-03,6649,1.0
LLY,2000-01-03,6649,1.0
LMT,2000-01-03,6649,1.0
LOW,2000-01-03,6649,1.0
LRCX,2000-01-03,6649,1.0
MAR,2000-01-03,6649,1.0
MCD,2000-01-03,6649,1.0
MCHP,2000-01-03,6649,1.0
MDT,2000-01-03,6649,1.0
MMM,2000-01-03,6649,1.0
MO,2000-01-03,6649,1.0
MRK,2000-01-03,6649,1.0
MS,2000-01-03,6649,1.0
MSFT,2000-01-03,6649,1.0
MU,2000-01-03,6649,1.0
NEE,2000-01-03,6649,1.0
NEM,2000-01-03,6649,1.0
NKE,2000-01-03,6649,1.0
NOC,2000-01-03,6649,1.0
NSC,2000-01-03,6649,1.0
NVDA,2000-01-03,6649,1.0
O,2000-01-03,6649,1.0
ORCL,2000-01-03,6649,1.0
ORLY,2000-01-03,6649,1.0
OXY,2000-01-03,6649,1.0
PEP,2000-01-03,6649,1.0
PFE,2000-01-03,6649,1.0
PG,2000-01-03,6649,1.0
PGR,2000-01-03,6649,1.0
PH,2000-01-03,6649,1.0
PLD,2000-01-03,6649,1.0
PNC,2000-01-03,6649,1.0
PSA,2000-01-03,6649,1.0
QCOM,2000-01-03,6649,1.0
QQQ,2000-01-03,6649,1.0
REGN,2000-01-03,6649,1.0
ROST,2000-01-03,6649,1.0
RTX,2000-01-03,6649,1.0
SBUX,2000-01-03,6649,1.0
SCHW,2000-01-03,6649,1.0
SHW,2000-01-03,6649,1.0
SLB,2000-01-03,6649,1.0
SNPS,2000-01-03,6649,1.0
SO,2000-01-03,6649,1.0
SPG,2000-01-03,6649,1.0
SPGI,2000-01-03,6649,1.0
SPY,2000-01-03,6649,1.0
SRE,2000-01-03,6649,1.0
STZ,2000-01-03,6649,1.0
SYK,2000-01-03,6649,1.0
SYY,2000-01-03,6649,1.0
T,2000-01-03,6649,1.0
TFC,2000-01-03,6649,1.0
TGT,2000-01-03,6649,1.0
TJX,2000-01-03,6649,1.0
TMO,2000-01-03,6649,1.0
TRV,2000-01-03,6649,1.0
TTWO,2000-01-03,6649,1.0
TXN,2000-01-03,6649,1.0
UNH,2000-01-03,6649,1.0
UNP,2000-01-03,6649,1.0
UPS,2000-01-03,6649,1.0
USB,2000-01-03,6649,1.0
VLO,2000-01-03,6649,1.0
VRTX,2000-01-03,6649,1.0
VZ,2000-01-03,6649,1.0
WFC,2000-01-03,6649,1.0
WM,2000-01-03,6649,1.0
WMB,2000-01-03,6649,1.0
WMT,2000-01-03,6649,1.0
XLB,2000-01-03,6649,1.0
XLE,2000-01-03,6649,1.0
XLF,2000-01-03,6649,1.0
XLI,2000-01-03,6649,1.0
XLK,2000-01-03,6649,1.0
XLP,2000-01-03,6649,1.0
XLU,2000-01-03,6649,1.0
XLV,2000-01-03,6649,1.0
XLY,2000-01-03,6649,1.0
XOM,2000-01-03,6649,1.0
YUM,2000-01-03,6649,1.0
